# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      20 1.115e-06 1.270e-06 1.188e-06 3.698e-08
      25 1.279e-06 1.454e-06 1.361e-06 4.135e-08
      32 1.592e-06 2.016e-06 1.705e-06 6.955e-08
      40 1.956e-06 2.188e-06 2.067e-06 5.293e-08
      50 2.377e-06 2.671e-06 2.524e-06 7.174e-08
      63 3.020e-06 3.315e-06 3.160e-06 7.240e-08
      79 3.846e-06 4.197e-06 4.016e-06 8.354e-08
     100 4.851e-06 5.250e-06 5.044e-06 9.271e-08
     126 5.993e-06 6.630e-06 6.251e-06 1.493e-07
     158 7.729e-06 8.290e-06 7.983e-06 1.236e-07
     200 1.026e-05 1.332e-05 1.093e-05 7.720e-07
     251 1.397e-05 1.713e-05 1.506e-05 4.936e-07
     316 1.737e-05 1.975e-05 1.829e-05 6.471e-07
     398 2.254e-05 2.345e-05 2.297e-05 2.070e-07
     501 2.957e-05 3.069e-05 3.005e-05 2.411e-07
     631 3.904e-05 5.287e-05 4.424e-05 2.663e-06
     794 5.003e-05 5.583e-05 5.146e-05 1.508e-06
    1000 6.531e-05 8.374e-05 7.085e-05 4.475e-06
    1259 8.459e-05 1.029e-04 8.751e-05 3.822e-06
    1585 1.096e-04 1.280e-04 1.119e-04 3.212e-06
    1995 1.425e-04 1.727e-04 1.483e-04 7.231e-06
    2512 1.842e-04 2.336e-04 1.915e-04 1.182e-05
    3162 2.382e-04 2.864e-04 2.472e-04 1.158e-05
    3981 3.087e-04 3.269e-04 3.116e-04 3.120e-06
    5012 3.985e-04 4.562e-04 4.086e-04 1.507e-05
    6310 5.144e-04 5.340e-04 5.176e-04 3.016e-06
    7943 6.655e-04 9.472e-04 7.055e-04 7.113e-05
   10000 8.644e-04 1.574e-03 1.150e-03 1.879e-04
   12589 1.242e-03 2.031e-03 1.500e-03 2.048e-04
   15849 1.746e-03 3.540e-03 2.509e-03 3.835e-04
   19953 2.134e-03 3.929e-03 2.824e-03 4.293e-04
   25119 2.402e-03 4.734e-03 2.989e-03 5.873e-04
   31623 3.105e-03 3.417e-03 3.132e-03 5.410e-05
   39811 4.012e-03 5.979e-03 4.229e-03 3.962e-04
   50119 5.183e-03 7.805e-03 5.503e-03 5.921e-04
   63096 6.706e-03 1.196e-02 7.444e-03 1.251e-03
   79433 8.669e-03 1.706e-02 1.074e-02 2.275e-03
  100000 1.122e-02 2.160e-02 1.392e-02 2.890e-03
  125893 1.456e-02 2.766e-02 1.739e-02 3.703e-03
  158489 1.887e-02 2.630e-02 1.961e-02 1.426e-03
  199526 2.445e-02 3.284e-02 2.540e-02 1.637e-03
  251189 3.163e-02 4.469e-02 3.293e-02 2.182e-03
  316228 4.091e-02 6.082e-02 4.304e-02 3.678e-03
  398107 5.286e-02 5.847e-02 5.342e-02 1.198e-03
  501187 6.833e-02 7.662e-02 6.938e-02 2.068e-03
#------- --------- --------- --------- ---------


# rank_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.940e-07 7.940e-07 6.096e-07 3.734e-08
      13 6.230e-07 6.410e-07 6.295e-07 3.475e-09
      16 6.600e-07 6.790e-07 6.683e-07 4.235e-09
      20 7.220e-07 8.620e-07 7.364e-07 1.206e-08
      25 8.340e-07 8.750e-07 8.513e-07 9.452e-09
      32 1.023e-06 1.081e-06 1.049e-06 1.365e-08
      40 1.298e-06 1.901e-06 1.366e-06 1.013e-07
      50 1.737e-06 1.872e-06 1.794e-06 3.048e-08
      63 2.432e-06 2.633e-06 2.528e-06 4.711e-08
      79 3.506e-06 3.828e-06 3.653e-06 7.412e-08
     100 5.267e-06 5.753e-06 5.497e-06 1.140e-07
     126 7.966e-06 8.706e-06 8.312e-06 1.721e-07
     158 1.220e-05 1.330e-05 1.271e-05 2.480e-07
     200 1.918e-05 2.075e-05 1.991e-05 3.587e-07
     251 2.980e-05 3.199e-05 3.085e-05 5.100e-07
     316 4.774e-05 5.470e-05 4.950e-05 1.218e-06
     398 7.495e-05 7.953e-05 7.715e-05 1.062e-06
     501 1.181e-04 1.259e-04 1.214e-04 1.675e-06
     631 1.870e-04 1.966e-04 1.916e-04 2.296e-06
     794 2.960e-04 3.212e-04 3.034e-04 4.547e-06
    1000 4.691e-04 4.900e-04 4.786e-04 4.778e-06
    1259 7.437e-04 7.753e-04 7.577e-04 6.863e-06
    1585 1.180e-03 1.224e-03 1.199e-03 9.883e-06
    1995 1.870e-03 1.988e-03 1.901e-03 1.789e-05
    2512 2.971e-03 3.206e-03 3.015e-03 3.582e-05
    3162 4.709e-03 4.986e-03 4.774e-03 4.567e-05
    3981 7.467e-03 7.822e-03 7.554e-03 5.421e-05
    5012 1.185e-02 1.231e-02 1.198e-02 8.027e-05
    6310 1.884e-02 2.006e-02 1.906e-02 2.151e-04
    7943 2.991e-02 3.062e-02 3.013e-02 1.217e-04
   10000 4.745e-02 4.909e-02 4.786e-02 3.230e-04
   12589 7.524e-02 8.082e-02 7.620e-02 9.450e-04
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.270e-07 6.660e-07 6.444e-07 8.511e-09
      13 7.110e-07 7.450e-07 7.267e-07 7.822e-09
      16 8.150e-07 8.550e-07 8.332e-07 9.246e-09
      20 9.870e-07 1.033e-06 1.009e-06 1.060e-08
      25 1.258e-06 1.301e-06 1.279e-06 9.981e-09
      32 1.725e-06 1.844e-06 1.755e-06 1.702e-08
      40 2.373e-06 2.477e-06 2.433e-06 1.726e-08
      50 3.391e-06 3.525e-06 3.488e-06 2.601e-08
      63 5.036e-06 5.279e-06 5.204e-06 5.284e-08
      79 7.591e-06 7.963e-06 7.837e-06 9.090e-08
     100 1.182e-05 1.267e-05 1.220e-05 1.619e-07
     126 1.843e-05 1.925e-05 1.890e-05 2.018e-07
     158 2.867e-05 2.987e-05 2.931e-05 2.916e-07
     200 4.569e-05 4.736e-05 4.652e-05 3.793e-07
     251 7.181e-05 7.414e-05 7.290e-05 5.003e-07
     316 1.141e-04 1.224e-04 1.156e-04 1.219e-06
     398 1.813e-04 2.050e-04 1.867e-04 6.141e-06
     501 2.879e-04 2.934e-04 2.898e-04 1.077e-06
     631 4.579e-04 4.656e-04 4.604e-04 1.416e-06
     794 7.274e-04 7.483e-04 7.314e-04 3.802e-06
    1000 1.158e-03 1.356e-03 1.217e-03 6.564e-05
    1259 1.842e-03 2.362e-03 2.004e-03 1.340e-04
    1585 2.925e-03 3.670e-03 3.126e-03 2.123e-04
    1995 4.644e-03 5.680e-03 4.906e-03 3.153e-04
    2512 7.375e-03 7.492e-03 7.386e-03 2.039e-05
    3162 1.170e-02 1.220e-02 1.174e-02 6.827e-05
    3981 1.858e-02 2.175e-02 1.895e-02 7.306e-04
    5012 2.949e-02 4.499e-02 3.403e-02 3.883e-03
    6310 4.678e-02 5.207e-02 4.744e-02 1.335e-03
    7943 7.418e-02 1.010e-01 7.714e-02 5.278e-03
#------- --------- --------- --------- ---------


